Invoice_ID,Client_Name,Industry,Region,City,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Total_Amount,Invoice_Date,Payment_Method,Sales_Rep,Status
INV100089,Ridgeway LLC,Retail,North,Chennai,Maintenance,Onsite Support,45,39237.81,0.0,1765701.45,2024-02-04,UPI,Syed Ahmed,Paid
INV100090,Horizon Logistics,Energy,South,Jaipur,Cloud Services,SaaS Subscription,19,28597.12,0.0,543345.28,2025-12-01,Credit,Vikram Das,Overdue
INV100091,Evergreen Enterprises,Manufacturing,West,Bengaluru,Maintenance,Annual Maintenance Contract,5,42175.71,0.0,210878.55,2025-02-09,Credit,Anita Rao,Paid
INV100092,TruTech Solutions,Retail,West,Hyderabad,Hardware,Networking Switch,37,52322.77,0.0,1935942.49,2022-12-04,Credit,Priya Sharma,Paid
INV100093,Metro Trade Co,IT,South,Kolkata,Licenses,License Renewal,5,35447.94,25642.26,151597.44,2022-02-06,UPI,Karan Mehra,Paid
INV100094,Krypton Labs,Finance,East,Lucknow,Maintenance,Onsite Support,39,45243.71,0.0,1764504.69,2022-12-31,Credit,Syed Ahmed,Paid
INV100095,FusionWorks,Healthcare,South,Mumbai,Maintenance,Annual Maintenance Contract,35,22124.11,0.0,774343.85,2025-04-29,Bank Transfer,Vikram Das,Paid
INV100096,Horizon Logistics,IT,North,Pune,Software,Analytics Tool,36,38392.89,0.0,1382144.04,2021-06-11,Credit,Aman Verma,Paid
INV100097,Lumina Consulting,Retail,South,Delhi,Software,Billing Software,46,30706.14,0.0,1412482.44,2021-07-21,Cheque,Vikram Das,Pending
INV100098,Crestline Corp,Manufacturing,West,Chennai,Maintenance,Onsite Support,31,46169.84,0.0,1431265.04,2023-09-23,Credit,Neha Singh,Paid
INV100099,Dynatek Ltd,Finance,West,Pune,Cloud Services,SaaS Subscription,25,76728.34,0.0,1918208.5,2021-09-27,Credit,Neha Singh,Paid
INV100100,Horizon Logistics,Manufacturing,West,Jaipur,Software,CRM Module,44,2707.45,0.0,119127.8,2023-03-27,UPI,Neha Singh,Overdue
INV100101,Horizon Logistics,IT,West,Chennai,Software,ERP Suite,22,13454.43,0.0,295997.46,2024-07-18,Credit,Neha Singh,Paid
INV100102,FusionWorks,Logistics,South,Bengaluru,Cloud Services,SaaS Subscription,35,37912.49,0.0,1326937.15,2022-04-01,Cheque,Priya Sharma,Pending
INV100103,Summit Analytics,IT,East,Jaipur,Software,Analytics Tool,10,13961.51,0.0,139615.1,2025-01-25,Bank Transfer,Neha Singh,Paid
INV100104,Lumina Consulting,Retail,South,Delhi,Cloud Services,SaaS Subscription,31,60662.55,0.0,1880539.05,2025-10-17,UPI,Aman Verma,Paid
INV100105,Nexus Partners,Healthcare,East,Mumbai,Maintenance,Annual Maintenance Contract,44,8240.9,0.0,362599.6,2024-06-29,Cheque,Anita Rao,Overdue
INV100106,Pillar Manufacturing,Logistics,North,Kolkata,Software,Analytics Tool,36,2163.87,0.0,77899.32,2023-10-14,Credit,Karan Mehra,Paid
INV100107,TruTech Solutions,Healthcare,West,Pune,Software,CRM Module,20,31175.12,0.0,623502.4,2025-09-22,UPI,Rohit Gupta,Paid
INV100108,Summit Analytics,Energy,East,Kolkata,Software,CRM Module,43,7392.65,41281.4,276602.55,2021-10-23,Bank Transfer,Neha Singh,Overdue
INV100109,BlueWave Technologies,Finance,South,Lucknow,Hardware,Storage Array,33,63078.29,0.0,2081583.57,2025-10-15,Credit,Aman Verma,Pending
INV100110,Summit Analytics,Finance,West,Ahmedabad,Maintenance,Onsite Support,15,1580.26,3545.36,20158.54,2022-12-21,UPI,Rohit Gupta,Paid
INV100111,FusionWorks,Logistics,North,Pune,Cloud Services,Managed Cloud,20,19297.78,0.0,385955.6,2025-11-08,Credit,Neha Singh,Paid
INV100112,BlueWave Technologies,Energy,North,Bengaluru,Licenses,User License Pack,21,3086.77,0.0,64822.17,2021-12-04,Bank Transfer,Syed Ahmed,Paid
INV100113,FusionWorks,Retail,South,Mumbai,Cloud Services,IaaS Package,44,96227.2,0.0,4233996.8,2023-05-29,Cheque,Karan Mehra,Paid
INV100114,Ridgeway LLC,IT,East,Delhi,Hardware,Networking Switch,37,92494.83,0.0,3422308.71,2023-12-13,Bank Transfer,Syed Ahmed,Paid
INV100115,JetStream Holdings,Manufacturing,East,Hyderabad,Hardware,Networking Switch,3,65030.45,19653.4,175437.95,2023-03-03,Credit,Priya Sharma,Paid
INV100116,Nexus Partners,Energy,East,Lucknow,Cloud Services,IaaS Package,25,139814.93,0.0,3495373.25,2021-08-05,Cheque,Syed Ahmed,Paid
INV100117,TruTech Solutions,Healthcare,West,Hyderabad,Software,Billing Software,41,1590.74,0.0,65220.34,2023-02-03,Credit,Priya Sharma,Paid
INV100118,Metro Trade Co,Finance,North,Pune,Cloud Services,IaaS Package,4,34609.6,21120.59,117317.81,2021-07-07,UPI,Karan Mehra,Paid
INV100119,Ridgeway LLC,Healthcare,West,Lucknow,Cloud Services,SaaS Subscription,33,44157.97,0.0,1457213.01,2022-01-15,Bank Transfer,Rohit Gupta,Paid
INV100120,FusionWorks,Telecom,East,Jaipur,Maintenance,Onsite Support,34,20496.9,0.0,696894.6,2022-05-08,UPI,Anita Rao,Paid
INV100121,GreenGrid Inc,Logistics,South,Jaipur,Software,ERP Suite,43,3849.58,0.0,165531.94,2023-12-01,Bank Transfer,Anita Rao,Paid
INV100122,Vanguard Imports,Logistics,South,Lucknow,Software,Analytics Tool,22,27667.51,0.0,608685.22,2024-03-26,Credit,Karan Mehra,Pending
INV100123,WestBridge Group,Telecom,North,Chennai,Cloud Services,SaaS Subscription,34,9942.84,0.0,338056.56,2021-01-15,Cheque,Aman Verma,Paid
INV100124,FusionWorks,Finance,East,Lucknow,Consultancy,Business Consulting,1,21717.21,0.0,21717.21,2021-03-06,Cheque,Anita Rao,Pending
INV100125,WestBridge Group,IT,East,Hyderabad,Hardware,Networking Switch,5,131289.22,0.0,656446.1,2022-06-05,UPI,Karan Mehra,Paid
INV100126,Dynatek Ltd,Retail,West,Mumbai,Hardware,Server Rack,2,14884.74,0.0,29769.48,2024-09-29,Cheque,Anita Rao,Paid
INV100127,Innova Services,Retail,East,Chennai,Licenses,Perpetual License,39,27498.88,0.0,1072456.32,2024-02-27,Bank Transfer,Syed Ahmed,Paid
INV100128,WestBridge Group,IT,North,Chennai,Maintenance,Remote Support,24,39455.02,0.0,946920.48,2022-10-10,Credit,Anita Rao,Paid
INV100129,WestBridge Group,Finance,East,Kolkata,Software,Analytics Tool,38,40416.98,0.0,1535845.24,2025-02-04,Credit,Neha Singh,Paid
INV100130,Krypton Labs,IT,North,Bengaluru,Consultancy,Business Consulting,10,48914.06,0.0,489140.6,2023-12-23,UPI,Neha Singh,Paid
INV100131,TechNova Pvt Ltd,Energy,West,Delhi,Hardware,Storage Array,49,19761.94,0.0,968335.06,2024-03-08,Cheque,Karan Mehra,Paid
INV100132,Vanguard Imports,IT,West,Hyderabad,Maintenance,Annual Maintenance Contract,20,27469.96,0.0,549399.2,2025-03-03,Credit,Anita Rao,Paid
INV100133,Lumina Consulting,Healthcare,North,Kolkata,Software,Analytics Tool,4,37959.2,0.0,151836.8,2022-08-16,Credit,Karan Mehra,Paid
INV100134,BlueWave Technologies,Manufacturing,West,Ahmedabad,Maintenance,Remote Support,22,1388.31,2105.56,28437.26,2022-01-27,UPI,Karan Mehra,Paid
INV100135,WestBridge Group,Retail,North,Lucknow,Licenses,License Renewal,15,44039.3,0.0,660589.5,2025-08-26,Cheque,Karan Mehra,Paid
INV100136,Summit Analytics,Retail,South,Mumbai,Hardware,Networking Switch,28,38388.44,0.0,1074876.32,2022-02-23,Cheque,Priya Sharma,Paid
INV100137,WestBridge Group,Energy,West,Ahmedabad,Cloud Services,SaaS Subscription,40,130926.0,0.0,5237040.0,2021-10-16,UPI,Karan Mehra,Paid
INV100138,Apex Solutions,Energy,West,Chennai,Consultancy,Process Optimization,2,3727.63,891.57,6563.69,2022-01-14,Bank Transfer,Neha Singh,Paid
INV100139,Orion Systems,IT,East,Chennai,Software,ERP Suite,8,14480.33,0.0,115842.64,2025-12-02,Credit,Vikram Das,Paid
INV100140,Vanguard Imports,IT,West,Ahmedabad,Licenses,License Renewal,42,25141.72,0.0,1055952.24,2025-02-22,Credit,Aman Verma,Overdue
INV100141,Metro Trade Co,Finance,East,Mumbai,Cloud Services,Managed Cloud,6,41178.84,0.0,247073.04,2021-08-19,Cheque,Vikram Das,Overdue
INV100142,Optima Financials,Retail,East,Pune,Consultancy,IT Strategy,50,5123.69,0.0,256184.5,2023-10-15,UPI,Syed Ahmed,Paid
INV100143,Summit Analytics,Logistics,North,Pune,Software,Billing Software,5,48241.59,0.0,241207.95,2021-02-10,Cheque,Karan Mehra,Paid
INV100144,TruTech Solutions,Retail,East,Chennai,Licenses,User License Pack,12,26404.82,0.0,316857.84,2023-11-18,Cheque,Priya Sharma,Paid
INV100145,Krypton Labs,Logistics,South,Lucknow,Software,Billing Software,24,18155.21,0.0,435725.04,2021-05-15,Bank Transfer,Karan Mehra,Paid
INV100146,Evergreen Enterprises,Logistics,West,Bengaluru,Hardware,Workstation,41,71327.14,0.0,2924412.74,2021-07-20,UPI,Priya Sharma,Paid
INV100147,Pillar Manufacturing,IT,East,Ahmedabad,Hardware,Storage Array,9,57741.52,0.0,519673.68,2023-02-19,Cheque,Aman Verma,Paid
INV100148,Orion Systems,Telecom,East,Bengaluru,Maintenance,Remote Support,40,26249.43,0.0,1049977.2,2023-07-19,Credit,Rohit Gupta,Paid
INV100149,Horizon Logistics,Energy,South,Pune,Licenses,User License Pack,20,28112.1,0.0,562242.0,2023-11-23,Credit,Neha Singh,Paid
INV100150,Optima Financials,Telecom,South,Bengaluru,Cloud Services,IaaS Package,2,45072.9,0.0,90145.8,2023-12-08,Bank Transfer,Vikram Das,Pending
INV100151,Pillar Manufacturing,Finance,North,Chennai,Software,CRM Module,3,44910.72,0.0,134732.16,2022-05-18,Cheque,Anita Rao,Paid
INV100152,FusionWorks,Energy,East,Hyderabad,Maintenance,Annual Maintenance Contract,43,49184.31,0.0,2114925.33,2022-02-11,UPI,Rohit Gupta,Paid
INV100153,Apex Solutions,Logistics,South,Hyderabad,Consultancy,Business Consulting,33,30106.58,0.0,993517.14,2025-05-17,UPI,Aman Verma,Paid
INV100154,Horizon Logistics,Energy,South,Jaipur,Maintenance,Remote Support,8,44752.49,53038.46,304981.46,2025-10-18,Bank Transfer,Syed Ahmed,Paid
INV100155,Crestline Corp,Telecom,North,Chennai,Hardware,Networking Switch,43,43170.34,0.0,1856324.62,2023-03-16,Cheque,Anita Rao,Paid
INV100156,Ridgeway LLC,Energy,North,Mumbai,Maintenance,Remote Support,46,4631.47,0.0,213047.62,2021-04-09,Cheque,Aman Verma,Paid
INV100157,TechNova Pvt Ltd,Logistics,South,Ahmedabad,Maintenance,Annual Maintenance Contract,32,6323.38,0.0,202348.16,2022-11-15,Bank Transfer,Karan Mehra,Paid
INV100158,Optima Financials,IT,West,Jaipur,Software,Billing Software,11,25507.74,0.0,280585.14,2022-12-27,UPI,Syed Ahmed,Paid
INV100159,Apex Solutions,Logistics,South,Mumbai,Cloud Services,Managed Cloud,16,110124.34,0.0,1761989.44,2025-04-20,Cheque,Syed Ahmed,Paid
INV100160,Innova Services,Retail,West,Jaipur,Licenses,License Renewal,21,36396.68,0.0,764330.28,2023-08-19,Bank Transfer,Vikram Das,Paid
INV100161,Evergreen Enterprises,IT,South,Hyderabad,Consultancy,IT Strategy,34,8714.77,0.0,296302.18,2025-10-29,Credit,Neha Singh,Paid
INV100162,Summit Analytics,Manufacturing,East,Pune,Software,Analytics Tool,38,48999.23,0.0,1861970.74,2022-09-05,UPI,Anita Rao,Pending
INV100163,Vanguard Imports,Energy,West,Pune,Hardware,Storage Array,27,56563.7,0.0,1527219.9,2025-01-25,UPI,Neha Singh,Pending
INV100164,Vanguard Imports,Telecom,North,Kolkata,Cloud Services,IaaS Package,4,102380.16,0.0,409520.64,2022-10-05,UPI,Priya Sharma,Paid
INV100165,TruTech Solutions,Healthcare,East,Jaipur,Cloud Services,Managed Cloud,5,97628.41,0.0,488142.05,2025-11-28,Credit,Karan Mehra,Paid
INV100166,Vanguard Imports,Logistics,West,Chennai,Licenses,License Renewal,9,41043.64,48434.43,320958.33,2023-10-26,Credit,Karan Mehra,Paid
INV100167,Vanguard Imports,Retail,North,Delhi,Cloud Services,Managed Cloud,19,113615.95,0.0,2158703.05,2024-05-26,Bank Transfer,Aman Verma,Paid
INV100168,WestBridge Group,Logistics,East,Kolkata,Cloud Services,IaaS Package,2,90119.18,0.0,180238.36,2022-05-18,Credit,Karan Mehra,Paid
INV100169,WestBridge Group,Finance,South,Lucknow,Consultancy,IT Strategy,21,13088.94,0.0,274867.74,2023-02-06,UPI,Rohit Gupta,Overdue
INV100170,TechNova Pvt Ltd,Retail,West,Lucknow,Maintenance,Remote Support,22,41498.34,0.0,912963.48,2022-02-02,UPI,Vikram Das,Paid
INV100171,Ridgeway LLC,Healthcare,West,Bengaluru,Software,CRM Module,28,26509.03,0.0,742252.84,2023-05-21,Credit,Aman Verma,Pending
INV100172,Metro Trade Co,Finance,East,Pune,Licenses,License Renewal,48,35744.69,0.0,1715745.12,2023-03-06,UPI,Neha Singh,Pending
INV100173,Urbane Systems,Retail,East,Lucknow,Hardware,Server Rack,26,10194.67,0.0,265061.42,2022-01-28,Cheque,Rohit Gupta,Paid
INV100174,TechNova Pvt Ltd,Logistics,East,Jaipur,Cloud Services,IaaS Package,34,38557.07,0.0,1310940.38,2021-07-26,Bank Transfer,Priya Sharma,Paid
